timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,fall,activity,subject_id,age,height,weight,gender
2137355177000.0,1.043872,9.959879,1.340753,7.8615303,5.012455,1.1322387,0,3,2,26,169,64,Male
2137365466000.0,1.1300632,10.084377,1.1587936,7.8615303,0.75502944,0.035430185,0,3,2,26,169,64,Male
2137375343000.0,1.043872,10.113108,0.9768343,-1.1872166,0.7611381,0.033292156,0,3,2,26,169,64,Male
2137386225000.0,1.1779473,9.921572,1.6950948,-1.1899655,0.75441855,0.036651913,0,3,2,26,169,64,Male
2137395397000.0,1.1779473,9.921572,1.6950948,-1.1979067,0.7635816,0.036651913,0,3,2,26,169,64,Male
2137405767000.0,1.436521,9.883265,2.5091233,-1.2137892,0.79473567,0.043982297,0,3,2,26,169,64,Male
2137415957000.0,2.834735,10.04607,2.7581203,-1.2559389,0.7706065,0.09254608,0,3,2,26,169,64,Male
2137425767000.0,2.5378537,10.065224,2.3463178,-1.2363913,0.675617,0.1255328,0,3,2,26,169,64,Male
2137436028000.0,2.0398598,9.988609,1.9153614,-1.2431108,0.54733527,0.1826487,0,3,2,26,169,64,Male
2137445997000.0,1.541866,9.739613,1.3120226,-1.1866057,0.30940324,0.22357668,0,3,2,26,169,64,Male
2137456978000.0,1.0630256,9.528923,0.7278373,-0.9837985,0.18325958,0.22174409,0,3,2,26,169,64,Male
2137466719000.0,0.6991069,9.289502,0.39264908,-0.754724,0.25228736,0.23335053,0,3,2,26,169,64,Male
2137476786000.0,0.5363012,9.107543,0.41180268,-0.23945917,0.15057829,0.20311269,0,3,2,26,169,64,Male
2137489803000.0,0.51714754,9.136273,0.6991069,-0.07238753,0.29077184,0.21227567,0,3,2,26,169,64,Male
2137499433000.0,0.51714754,9.260772,1.043872,-0.09040806,0.29932398,0.16340645,0,3,2,26,169,64,Male
2137511027000.0,0.50757074,9.404425,1.2449849,-0.025350908,0.1554652,-0.003970624,0,3,2,26,169,64,Male
2137520741000.0,0.35434186,9.56723,1.3694834,0.027488936,0.07819075,-0.010079277,0,3,2,26,169,64,Male
2137530402000.0,-0.6607997,9.615114,1.2545617,0.06963864,0.05497787,0.056505036,0,3,2,26,169,64,Male
2137540678000.0,-0.91937345,9.011775,0.9864111,0.1685988,0.0018325958,0.054367006,0,3,2,26,169,64,Male
2137550687000.0,-0.12449849,9.088389,1.4939818,0.21655174,-0.26236662,-0.26847526,0,3,2,26,169,64,Male
2137561012000.0,1.1109096,9.672575,1.8770541,0.22724187,-0.3998113,-0.20555615,0,3,2,26,169,64,Male
2137572500000.0,1.934515,10.170568,1.4173675,0.17440203,-0.1740966,-0.047647487,0,3,2,26,169,64,Male
2137581735000.0,2.2984335,10.314221,0.7278373,0.090713486,0.12217305,0.060170226,0,3,2,26,169,64,Male
2137592876000.0,2.3175871,10.151415,0.79487497,-0.02076942,0.21594086,0.10842858,0,3,2,26,169,64,Male
2137602165000.0,2.1930888,9.921572,1.3024458,-0.017104227,0.11636983,0.12614368,0,3,2,26,169,64,Male
2137617797000.0,2.1739352,9.423578,2.087744,0.058337633,-0.106595986,0.08735373,0,3,2,26,169,64,Male
2137627179000.0,2.1739352,9.3182335,2.336741,0.067500606,-0.26939157,0.07727446,0,3,2,26,169,64,Male
2137638152000.0,1.9249382,9.299079,2.3080103,0.056199603,-0.41386122,0.13225232,0,3,2,26,169,64,Male
2137650620000.0,1.6759412,9.844957,1.9249382,0.019547688,-0.4260785,0.24251351,0,3,2,26,169,64,Male
2137661653000.0,1.3215994,9.940725,1.532289,-0.032070424,-0.19120082,0.2846632,0,3,2,26,169,64,Male
2137671434000.0,0.9672575,9.749189,1.2737153,-0.06566802,-0.07788532,0.19058995,0,3,2,26,169,64,Male
2137681633000.0,0.82360536,9.548077,1.9153614,-0.047036625,-0.015577064,0.11209377,0,3,2,26,169,64,Male
2137694407000.0,1.1204864,9.557653,0.5267244,-0.015882496,-0.019547688,0.06688975,0,3,2,26,169,64,Male
2137705181000.0,1.3215994,9.624691,1.8483237,0.007941248,-0.034513887,0.06719518,0,3,2,26,169,64,Male
2137715424000.0,1.3503298,9.586384,1.6184803,0.02443461,-0.025961773,0.1142318,0,3,2,26,169,64,Male
2137725310000.0,1.532289,9.56723,0.5363012,0.036651913,-0.003970624,0.12461651,0,3,2,26,169,64,Male
2137736757000.0,1.4939818,9.643845,1.6280571,0.032986723,-0.014966198,0.10323623,0,3,2,26,169,64,Male
2137746523000.0,1.3790601,9.624691,1.9440918,0.062002823,-0.07269296,0.063224554,0,3,2,26,169,64,Male
2137757926000.0,1.4460979,9.77792,0.7757214,0.12034045,-0.0015271631,0.056505036,0,3,2,26,169,64,Male
2137770405000.0,1.541866,9.758766,-0.2777274,0.16646078,0.28160888,0.044898596,0,3,2,26,169,64,Male
2137781514000.0,1.685518,9.787497,0.2873042,0.2666427,0.29352075,-0.038179077,0,3,2,26,169,64,Male
2137791773000.0,1.9632454,9.9790325,0.6799533,0.35827246,0.14263703,-0.07422013,0,3,2,26,169,64,Male
2137801777000.0,2.2409728,10.170568,0.63206923,0.36926803,0.045814894,-0.06719518,0,3,2,26,169,64,Male
2137815242000.0,2.2601264,10.199299,0.29688102,0.3145956,0.082161374,-0.040011674,0,3,2,26,169,64,Male
2137824542000.0,2.0111294,10.055647,0.18195933,0.25686884,0.16035213,-0.02076942,0,3,2,26,169,64,Male
