timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,fall,activity,subject_id,age,height,weight,gender
3695902870000.0,0.34476504,9.892841,-0.4213795,-1.0836749,0.49510628,0.016187929,1,13,16,27,172,56,Female
3696109607000.0,0.48841715,9.854534,-0.23942018,-0.08307768,0.009468411,0.015882496,1,13,16,27,172,56,Female
3696312370000.0,0.36391866,9.854534,-0.29688102,0.0033597588,0.065973446,0.026267206,1,13,16,27,172,56,Female
3696324043000.0,0.34476504,9.911995,-0.4405331,0.009162978,0.053450707,0.03023783,1,13,16,27,172,56,Female
3696337061000.0,0.32561144,9.911995,-0.59376204,0.01038471,0.04917465,0.03268129,1,13,16,27,172,56,Female
3696347508000.0,0.37349546,9.921572,-0.641646,0.005192355,0.051923547,0.041233405,1,13,16,27,172,56,Female
3696359965000.0,0.40222588,9.883265,-0.6703765,0.01740966,0.044898596,0.03481932,1,13,16,27,172,56,Female
3696372540000.0,0.4213795,9.80665,-0.5363012,0.016187929,0.03023783,0.03359759,1,13,16,27,172,56,Female
3696384158000.0,0.4405331,9.825804,-0.4213795,0.030848695,0.023518313,0.038179077,1,13,16,27,172,56,Female
3696397490000.0,0.45010993,9.864111,-0.35434186,0.013744468,0.005192355,0.047036625,1,13,16,27,172,56,Female
3696408623000.0,0.4405331,9.825804,-0.19153613,-0.0036651916,-0.0106901415,0.05467244,1,13,16,27,172,56,Female
3696418483000.0,0.4309563,9.844957,-0.06703765,0.00061086525,-0.02107485,0.06811147,1,13,16,27,172,56,Female
3696432339000.0,0.4213795,9.883265,0.095768064,-0.007330383,-0.03726278,0.0711658,1,13,16,27,172,56,Female
3696443520000.0,0.4309563,9.911995,0.32561144,-0.011911872,-0.03573562,0.06383542,1,13,16,27,172,56,Female
3696458652000.0,0.4213795,9.892841,0.24899697,-0.026572637,-0.047647487,0.06414085,1,13,16,27,172,56,Female
3696468524000.0,0.4405331,9.854534,0.20111294,-0.032375857,-0.04428773,0.06536258,1,13,16,27,172,56,Female
3696483194000.0,0.32561144,9.844957,-0.095768064,-0.04337143,-0.046120327,0.06352998,1,13,16,27,172,56,Female
3696493464000.0,0.30645782,9.892841,-0.33518824,-0.040011674,-0.03481932,0.051923547,1,13,16,27,172,56,Female
3696507020000.0,0.32561144,9.883265,-0.4405331,-0.067500606,-0.047036625,0.04153884,1,13,16,27,172,56,Female
3696516742000.0,0.2873042,9.844957,-0.545878,-0.057421334,-0.0580322,0.048563786,1,13,16,27,172,56,Female
3696527522000.0,0.23942018,9.854534,-0.6703765,-0.04337143,-0.07971791,0.054367006,1,13,16,27,172,56,Female
3696542530000.0,0.1436521,9.892841,-0.89064306,-0.019547688,-0.07391469,0.05681047,1,13,16,27,172,56,Female
3696552442000.0,0.20111294,9.969456,-0.90021986,-0.025961773,-0.051923547,0.0571159,1,13,16,27,172,56,Female
3696567839000.0,0.35434186,10.1226845,-0.6991069,-0.04795292,-0.031154128,0.06169739,1,13,16,27,172,56,Female
3696577668000.0,0.38307226,10.103531,-0.5650316,-0.03756821,-0.020158553,0.06719518,1,13,16,27,172,56,Female
3696592921000.0,0.36391866,10.0269165,-0.45010993,-0.057421334,0.03023783,0.074830994,1,13,16,27,172,56,Female
3696604614000.0,0.2873042,9.940725,-0.30645782,-0.08002335,0.05375614,0.07269296,1,13,16,27,172,56,Female
3696616359000.0,0.21068975,9.873688,-0.20111294,-0.108123146,0.07391469,0.05497787,1,13,16,27,172,56,Female
3696626283000.0,0.18195933,9.883265,-0.06703765,-0.10476339,0.08124508,0.06963864,1,13,16,27,172,56,Female
3696637183000.0,0.08619126,9.911995,0.009576807,-0.12461651,0.08246681,0.064751714,1,13,16,27,172,56,Female
3696646774000.0,0.047884032,9.921572,-0.047884032,-0.1459968,0.070554934,0.056199603,1,13,16,27,172,56,Female
